iso3,country,region,cities,city_ofmsw_food_green_tpy,city_unmanaged_ofmsw_food_green_tpy,cities_with_ad_asset_data,cities_with_compost_asset_data
COL,Colombia,L. Amer. & the Caribbean,3,2173355.1550000003,2173355.1550000003,0,0
COM,Comoros,Sub-Saharan Africa,1,10623.69,0.0,0,0
CRI,Costa Rica,L. Amer. & the Caribbean,2,120298.934749,120298.934749,0,0
CUB,Cuba,L. Amer. & the Caribbean,1,378285.8208336668,0.0,0,0
CYP,Cyprus,Eur. & Cent. Asia,1,0.0,0.0,1,1
CZE,Czech Republic,Eur. & Cent. Asia,1,3822.43356452,0.0,0,0
CZE,Czechia,Eur. & Cent. Asia,1,0.0,0.0,0,0
DEU,Germany,Eur. & Cent. Asia,2,1195244.087,3028.9306,0,2
DJI,Djibouti,Mid. East & N. Africa,1,46457.2,46457.2,0,0
DNK,Denmark,Eur. & Cent. Asia,1,120000.0,2400.0,0,0
DOM,Dominican Republic,L. Amer. & the Caribbean,1,471215.0,471215.0,0,0
DZA,Algeria,Mid. East & N. Africa,2,707199.5211144267,707199.5211144267,0,0
ECU,Ecuador,L. Amer. & the Caribbean,2,1380917.669265543,1379518.1944716345,0,0
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,1,3178128.0,1779751.6799999997,0,0
ESP,Spain,Eur. & Cent. Asia,2,557364.4515,42452.84256,0,0
EST,Estonia,Eur. & Cent. Asia,2,64410.77500000001,5024.04045,0,1
ETH,Ethiopia,Sub-Saharan Africa,1,512775.36000000004,382427.86348800006,0,1
FIN,Finland,Eur. & Cent. Asia,3,347009.367692,1015.3353000000002,0,0
FJI,Fiji,E. Asia & Pacific,1,9708.720000000001,0.0,0,0
FRA,France,Eur. & Cent. Asia,2,294439.12399999995,28303.1483132,0,2
FSM,"Micronesia, Fed. Sts.",E. Asia & Pacific,1,5859.71,5818.692030000001,0,0
GAB,Gabon,Sub-Saharan Africa,1,0.0,0.0,0,0
GBR,United Kingdom,Eur. & Cent. Asia,2,72318.4992,1120.9367376,0,0
GEO,Georgia,Eur. & Cent. Asia,1,196386.96394999998,0.0,0,0
GHA,Ghana,Sub-Saharan Africa,2,704190.0,659067.3300000001,0,1
GIN,Guinea,Sub-Saharan Africa,1,272800.0,272800.0,0,0
