iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
GHA,Ghana,Sub-Saharan Africa,LMIC,Accra,acra,,2514005.0,2020.0,900000.0,,0.5391,,,,0.454,,,,0.677,,0.012,0.068,,,0.013,,0.23,,0.5391,485190.0,0.907,440067.33,0.012,,,,10800.0,False,True,,,,,,Missing/insufficient data,0.0,0.44006733000000003,0.48519
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,Tashkent,tash,,2517381.0,2022.0,744280.0,,0.59,,,,1.0,,,1.0,,,,,,,,,,,0.59,439125.1999999999,1.0,439125.1999999999,,,,,,False,False,AD-electricity,1056308.3610052995,0.7825844356431367,0.4135910771767895,Strategic build-out,AD-electricity,0.688,0.4391251999999999,0.4391251999999999
ZAF,South Africa,Sub-Saharan Africa,UMIC,Johannesburg,jonb,5599732.0,5782747.0,2021.0,1438294.0,0.809,0.34,,,,0.94,,,,0.885,,,0.115,,,,,,,0.34,489019.96,0.885,432782.6646,,,,,,False,False,Prevention,967913.3651677726,0.771813175989036,0.756672140090268,Immediate priority,Prevention,0.815,0.43278266460000003,0.48901996000000003
IND,India,S. Asia,LMIC,Bengaluru,bglr,8443675.0,,2022.0,2007500.0,0.651,0.53,0.06,,,,,,,,,,,,,,,0.35,,0.5900000000000001,1184425.0000000002,0.35,414548.75000000006,,,,,,False,False,Prevention,21670975.425812382,1.0,0.5717633194699608,Strategic build-out,Prevention,0.773,0.4145487500000001,1.1844250000000003
SEN,Senegal,Sub-Saharan Africa,LMIC,Dakar,daka,,3140442.0,2021.0,979842.0,,0.352941176470588,0.0686274509803922,0.0098039215686274,,0.84,0.84,,,,,,,,,,,0.16,,0.4215686274509801,413070.6470588233,1.0,413070.6470588233,,,,,,False,False,Prevention,156696.92743672951,0.5473940916163427,0.583234312199805,Longer-term / local fit,Prevention,0.837,0.41307064705882335,0.41307064705882335
MMR,Myanmar,E. Asia & Pacific,LMIC,Yangon,yang,5331800.0,5331800.0,2019.0,1167664.2,0.6,0.4433,,,,0.75,,0.5,,,,,0.25,,,,,0.25,,0.4433,517625.53986,0.75,388219.154895,,,,,,False,False,AD-bio-CNG,1680834.3331866006,0.8398357970490514,0.4195675833594571,Strategic build-out,AD-bio-CNG,0.65,0.388219154895,0.51762553986
COL,Colombia,L. Amer. & the Caribbean,UMIC,Medellin,mede,2595300.0,3735098.0,2023.0,678060.0,0.72,0.537,0.031,0.006,,,,,1.0,,,,,,,,,,,0.5680000000000001,385138.08,1.0,385138.08,,,,,,False,False,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,Prevention,0.582,0.38513808,0.38513808
ETH,Ethiopia,Sub-Saharan Africa,LIC,Addis Ababa,adab,4793699.0,4793699.0,2020.0,791320.0,,0.648,,0.009,,0.75,0.4958,,,,,,0.0601,0.1941,,,,0.25,,0.648,512775.36,0.7458,382427.86348800006,,,,,39566.0,False,True,Prevention,1397566.808790034,0.8170888839471673,0.4315175428161997,Strategic build-out,Prevention,0.851,0.38242786348800006,0.51277536
AUS,Australia,E. Asia & Pacific,HIC,Perth,prth,2182170.0,2041959.0,2020.0,1108490.0,1.392,0.46,0.025,0.02,,,,,0.68,,,,0.32,,,,,,,0.485,537617.65,0.68,365580.002,,,,,,False,False,AD-bio-CNG,3951573.106127394,0.9451936824048736,0.8604882467787214,Immediate priority,AD-bio-CNG,0.601,0.36558000199999996,0.5376176500000001
MEX,Mexico,L. Amer. & the Caribbean,UMIC,Guadalajara,guad,1385629.0,5179479.0,2022.0,580495.0,1.15,0.4756999999999999,0.1177,,0.01,,,,1.0,,,,,,,,,,,0.5933999999999999,344465.73299999995,1.0,344465.73299999995,,,,,612242.828813762,False,True,AD-bio-CNG,9400086.068717005,1.0,0.6975139855039358,Immediate priority,AD-bio-CNG,0.593,0.34446573299999994,0.34446573299999994
UGA,Uganda,Sub-Saharan Africa,LIC,Kampala,kamp,1680600.0,2576982.0,2017.0,801803.333333333,,0.43,,,,0.6,,0.54,,,,,0.036,,,,,0.4,0.024,0.43,344775.4333333332,0.964,332363.5177333332,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.3323635177333332,0.34477543333333316
ZAF,South Africa,Sub-Saharan Africa,UMIC,Cape Town,capt,4004793.0,5063583.0,2023.0,1233674.0,0.844,0.204,0.074,0.013,,,,,,0.908,,0.077,0.015,,,,,,,0.2779999999999999,342961.372,0.908,311408.92577599996,0.077,,,,94992.898,False,True,Prevention,967913.3651677726,0.771813175989036,0.756672140090268,Immediate priority,Prevention,0.815,0.31140892577599993,0.342961372
