iso3,country_wdi,indicator,value
YEM,"Yemen, Rep.",NY.GDP.PCAP.CD,
ZMB,Zambia,NY.GDP.PCAP.CD,1447.12310138035
ZWE,Zimbabwe,NY.GDP.PCAP.CD,2536.40050223076
AFE,Africa Eastern and Southern,NY.GDP.MKTP.CD,1228967879390.01
AFW,Africa Western and Central,NY.GDP.MKTP.CD,1063649130876.99
ARB,Arab World,NY.GDP.MKTP.CD,3747416641077.45
CSS,Caribbean small states,NY.GDP.MKTP.CD,78506430710.7309
CEB,Central Europe and the Baltics,NY.GDP.MKTP.CD,1954419184114.96
EAR,Early-demographic dividend,NY.GDP.MKTP.CD,14034689936337.3
EAS,East Asia & Pacific,NY.GDP.MKTP.CD,31266291368260.6
EAP,East Asia & Pacific (excluding high income),NY.GDP.MKTP.CD,21563881384135.8
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.MKTP.CD,21537214774462.6
EMU,Euro area,NY.GDP.MKTP.CD,14488160081806.7
ECS,Europe & Central Asia,NY.GDP.MKTP.CD,25798700454390.6
ECA,Europe & Central Asia (excluding high income),NY.GDP.MKTP.CD,1820242864725.09
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.MKTP.CD,5264484546456.79
EUU,European Union,NY.GDP.MKTP.CD,17023612496380.4
FCS,Fragile and conflict affected situations,NY.GDP.MKTP.CD,1918272363969.18
HPC,Heavily indebted poor countries (HIPC),NY.GDP.MKTP.CD,1002501492801.3
,High income,NY.GDP.MKTP.CD,65081334214971.6
IBD,IBRD only,NY.GDP.MKTP.CD,37943329554311.5
IBT,IDA & IBRD total,NY.GDP.MKTP.CD,41018485584725.7
IDB,IDA blend,NY.GDP.MKTP.CD,1456880573683.68
IDX,IDA only,NY.GDP.MKTP.CD,1618275456730.5
IDA,IDA total,NY.GDP.MKTP.CD,3075156030414.19
LTE,Late-demographic dividend,NY.GDP.MKTP.CD,28550398557203.3
LCN,Latin America & Caribbean,NY.GDP.MKTP.CD,6144995160894.64
LAC,Latin America & Caribbean (excluding high income),NY.GDP.MKTP.CD,5336050967302.51
TLA,Latin America & the Caribbean (IDA & IBRD countries),NY.GDP.MKTP.CD,5851879329574.93
LDC,Least developed countries: UN classification,NY.GDP.MKTP.CD,1474237106700.91
LMY,Low & middle income,NY.GDP.MKTP.CD,36965295357847.5
,Low income,NY.GDP.MKTP.CD,434268149844.662
,Lower middle income,NY.GDP.MKTP.CD,7588963714927.96
MEA,"Middle East, North Africa, Afghanistan & Pakistan",NY.GDP.MKTP.CD,5030925398736.26
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",NY.GDP.MKTP.CD,2160815136190.98
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",NY.GDP.MKTP.CD,2141649636190.98
MIC,Middle income,NY.GDP.MKTP.CD,36528767758177.8
NAC,North America,NY.GDP.MKTP.CD,27803134368745.3
,Not classified,NY.GDP.MKTP.CD,
OED,OECD members,NY.GDP.MKTP.CD,60588200976081.3
OSS,Other small states,NY.GDP.MKTP.CD,181859538439.061
PSS,Pacific island small states,NY.GDP.MKTP.CD,10350119919.8256
PST,Post-demographic dividend,NY.GDP.MKTP.CD,56953387691844.6
PRE,Pre-demographic dividend,NY.GDP.MKTP.CD,1860790512304.23
SST,Small states,NY.GDP.MKTP.CD,270716089069.618
SAS,South Asia,NY.GDP.MKTP.CD,3930640287773.46
TSA,South Asia (IDA & IBRD),NY.GDP.MKTP.CD,3930640287773.46
SSF,Sub-Saharan Africa,NY.GDP.MKTP.CD,2292617010267.0
SSA,Sub-Saharan Africa (excluding high income),NY.GDP.MKTP.CD,2167458359012.26
TSS,Sub-Saharan Africa (IDA & IBRD countries),NY.GDP.MKTP.CD,2292617010267.0
,Upper middle income,NY.GDP.MKTP.CD,28940725480186.1
WLD,World,NY.GDP.MKTP.CD,102251524725531.0
AFG,Afghanistan,NY.GDP.MKTP.CD,14497243872.1337
ALB,Albania,NY.GDP.MKTP.CD,19017247013.8821
DZA,Algeria,NY.GDP.MKTP.CD,225581644702.568
ASM,American Samoa,NY.GDP.MKTP.CD,871000000.0
AND,Andorra,NY.GDP.MKTP.CD,3380611694.73392
AGO,Angola,NY.GDP.MKTP.CD,131212208930.344
ATG,Antigua and Barbuda,NY.GDP.MKTP.CD,1866566666.66667
ARG,Argentina,NY.GDP.MKTP.CD,633993756301.08
ARM,Armenia,NY.GDP.MKTP.CD,19513506553.1251
ABW,Aruba,NY.GDP.MKTP.CD,3324034443.26581
AUS,Australia,NY.GDP.MKTP.CD,1695627535475.8
AUT,Austria,NY.GDP.MKTP.CD,473221298968.216
AZE,Azerbaijan,NY.GDP.MKTP.CD,78807470588.2353
BHS,"Bahamas, The",NY.GDP.MKTP.CD,13896800000.0
BHR,Bahrain,NY.GDP.MKTP.CD,46458191489.3617
BGD,Bangladesh,NY.GDP.MKTP.CD,460131689083.083
BRB,Barbados,NY.GDP.MKTP.CD,6884900000.0
BLR,Belarus,NY.GDP.MKTP.CD,73775179924.603
BEL,Belgium,NY.GDP.MKTP.CD,591085783326.267
BLZ,Belize,NY.GDP.MKTP.CD,2846604350.0
BEN,Benin,NY.GDP.MKTP.CD,17425405090.862
BMU,Bermuda,NY.GDP.MKTP.CD,7874381000.0
BTN,Bhutan,NY.GDP.MKTP.CD,2898227743.75576
BOL,Bolivia,NY.GDP.MKTP.CD,50959081953.6903
BIH,Bosnia and Herzegovina,NY.GDP.MKTP.CD,24534663636.1778
BWA,Botswana,NY.GDP.MKTP.CD,20321150599.1523
BRA,Brazil,NY.GDP.MKTP.CD,1951923832083.87
VGB,British Virgin Islands,NY.GDP.MKTP.CD,
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,16681536466.7183
BGR,Bulgaria,NY.GDP.MKTP.CD,90506153293.6733
BFA,Burkina Faso,NY.GDP.MKTP.CD,18622421394.6133
BDI,Burundi,NY.GDP.MKTP.CD,4036192552.88879
CPV,Cabo Verde,NY.GDP.MKTP.CD,2247003344.34242
KHM,Cambodia,NY.GDP.MKTP.CD,39994532959.6074
CMR,Cameroon,NY.GDP.MKTP.CD,44347206072.5513
CAN,Canada,NY.GDP.MKTP.CD,2190411080134.32
CYM,Cayman Islands,NY.GDP.MKTP.CD,6660161212.01997
CAF,Central African Republic,NY.GDP.MKTP.CD,2382618615.01694
TCD,Chad,NY.GDP.MKTP.CD,17828508289.6049
CHI,Channel Islands,NY.GDP.MKTP.CD,11308272505.183
CHL,Chile,NY.GDP.MKTP.CD,301226575540.242
CHN,China,NY.GDP.MKTP.CD,18316765021690.2
COL,Colombia,NY.GDP.MKTP.CD,345632492851.448
COM,Comoros,NY.GDP.MKTP.CD,1222485532.31976
COD,"Congo, Dem. Rep.",NY.GDP.MKTP.CD,70422346142.2023
COG,"Congo, Rep.",NY.GDP.MKTP.CD,15817030154.6941
CRI,Costa Rica,NY.GDP.MKTP.CD,69243626028.5936
CIV,Cote d'Ivoire,NY.GDP.MKTP.CD,70922824813.9102
HRV,Croatia,NY.GDP.MKTP.CD,71196498671.1145
CUB,Cuba,NY.GDP.MKTP.CD,
CUW,Curacao,NY.GDP.MKTP.CD,3075180834.72417
CYP,Cyprus,NY.GDP.MKTP.CD,31218038929.0919
CZE,Czechia,NY.GDP.MKTP.CD,301831228325.556
DNK,Denmark,NY.GDP.MKTP.CD,400114306337.077
DJI,Djibouti,NY.GDP.MKTP.CD,3562814908.76149
DMA,Dominica,NY.GDP.MKTP.CD,623062962.962963
DOM,Dominican Republic,NY.GDP.MKTP.CD,113478087134.8
ECU,Ecuador,NY.GDP.MKTP.CD,116133121000.0
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,476747720364.742
SLV,El Salvador,NY.GDP.MKTP.CD,31870120000.0
GNQ,Equatorial Guinea,NY.GDP.MKTP.CD,13687643435.6249
ERI,Eritrea,NY.GDP.MKTP.CD,
EST,Estonia,NY.GDP.MKTP.CD,38226641740.29
SWZ,Eswatini,NY.GDP.MKTP.CD,4746660273.50829
ETH,Ethiopia,NY.GDP.MKTP.CD,123140304666.0
FRO,Faroe Islands,NY.GDP.MKTP.CD,3615241800.50058
FJI,Fiji,NY.GDP.MKTP.CD,4977861885.60316
FIN,Finland,NY.GDP.MKTP.CD,280253099309.34
FRA,France,NY.GDP.MKTP.CD,2794788137066.94
PYF,French Polynesia,NY.GDP.MKTP.CD,5622688338.06317
GAB,Gabon,NY.GDP.MKTP.CD,20440655695.1804
GMB,"Gambia, The",NY.GDP.MKTP.CD,2204734527.88096
GEO,Georgia,NY.GDP.MKTP.CD,24984568959.605
DEU,Germany,NY.GDP.MKTP.CD,4201021706478.62
GHA,Ghana,NY.GDP.MKTP.CD,73919003209.9866
GIB,Gibraltar,NY.GDP.MKTP.CD,
GRC,Greece,NY.GDP.MKTP.CD,217990189600.69
GRL,Greenland,NY.GDP.MKTP.CD,3152334771.77992
GRD,Grenada,NY.GDP.MKTP.CD,1224007407.40741
GUM,Guam,NY.GDP.MKTP.CD,6910000000.0
GTM,Guatemala,NY.GDP.MKTP.CD,95641446500.6523
GIN,Guinea,NY.GDP.MKTP.CD,19910452541.9219
GNB,Guinea-Bissau,NY.GDP.MKTP.CD,1859601384.05928
GUY,Guyana,NY.GDP.MKTP.CD,14718388489.2086
HTI,Haiti,NY.GDP.MKTP.CD,20253551920.5516
HND,Honduras,NY.GDP.MKTP.CD,31426041806.7985
HKG,"Hong Kong SAR, China",NY.GDP.MKTP.CD,358679533984.718
HUN,Hungary,NY.GDP.MKTP.CD,177002580544.155
ISL,Iceland,NY.GDP.MKTP.CD,29166102877.2755
IND,India,NY.GDP.MKTP.CD,3346107287730.93
IDN,Indonesia,NY.GDP.MKTP.CD,1319101183380.15
IRN,"Iran, Islamic Rep.",NY.GDP.MKTP.CD,422662261525.665
IRQ,Iraq,NY.GDP.MKTP.CD,287372232137.931
IRL,Ireland,NY.GDP.MKTP.CD,548341794599.09
IMN,Isle of Man,NY.GDP.MKTP.CD,7431257410.92713
