iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
KGZ,Kyrgyz Republic,Eur. & Cent. Asia,LMIC,634065.9502176,634065.9502176,146.89,158629.58354277586,191258.85133777765,161766.7096152154,275417.9586641185,Prevention,275417.9586641185
LVA,Latvia,Eur. & Cent. Asia,HIC,288354.93693484546,151469.20250485567,135.19,79381.59634208916,87342.77477847323,80265.62843807107,86604.32289353778,AD-bio-CNG,87342.77477847323
LIE,Liechtenstein,Eur. & Cent. Asia,HIC,10502.1336,,,,,,,,
LTU,Lithuania,Eur. & Cent. Asia,HIC,458579.4000000001,62550.23016000001,180.69,20323.082380057564,23343.287378630583,20471.9606385624,25505.39681701993,Prevention,25505.39681701993
LUX,Luxembourg,Eur. & Cent. Asia,HIC,147067.63397839235,,140.5,,,,,,
MDA,Moldova,Eur. & Cent. Asia,UMIC,432587.3863270952,406199.5557611424,647.28,125004.05837908592,126808.817996423,111574.0130919455,117504.57278865617,AD-bio-CNG,126808.817996423
MCO,Monaco,Eur. & Cent. Asia,HIC,0.0,,,,,,,,
MNE,Montenegro,Eur. & Cent. Asia,UMIC,124907.6642607033,119652.80069702394,483.38,41677.78702152837,44052.094179844,39211.43060616372,48593.026805134374,Prevention,48593.026805134374
NLD,Netherlands,Eur. & Cent. Asia,HIC,2837429.9999999995,40001.99999999995,325.61,22267.917361101572,23654.690384645022,21922.772779999978,20972.46371681414,AD-bio-CNG,23654.690384645022
MKD,North Macedonia,Eur. & Cent. Asia,UMIC,395506.4947055508,394319.97522143414,624.58,121496.41931852036,124089.45174402652,109139.07986360427,175548.87992961425,Prevention,175548.87992961425
NOR,Norway,Eur. & Cent. Asia,HIC,1349068.6536326169,48362.71420357193,29.64,27566.754632922923,30588.32838073819,28236.776746948057,20418.84166632959,AD-bio-CNG,30588.32838073819
POL,Poland,Eur. & Cent. Asia,HIC,4608423.59589,1755809.3900340905,732.48,1050019.5820810515,1043764.5599525796,980604.382081412,869529.4183759743,AD-electricity,1050019.5820810515
