iso3,region,country,income_generation_year,income_2022,gdp,population_generation_year,msw_year_reported,msw_tpy,msw_kg_cap_day,msw_2022_tpy,population_2022,msw_2030_tpy,population_2030,msw_2040_tpy,population_2040,msw_2050_tpy,population_2050,food_pct,green_pct,wood_pct,collection_total_population_pct,collection_total_weight_pct,treatment_open_dump_pct,treatment_controlled_landfill_pct,treatment_sanitary_landfill_pct,treatment_unspecified_landfill_pct,treatment_anaerobic_digestion_pct,treatment_composting_pct,treatment_recycling_pct,treatment_incineration_pct,treatment_mbt_pct,treatment_rdf_pct,treatment_other_pct,treatment_uncollected_pct,treatment_unaccounted_pct,food_frac,green_frac,wood_frac,collection_total_population_frac,collection_total_weight_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_composting_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_wood_frac,ofmsw_food_green_tpy_tpy,ofmsw_food_green_wood_tpy_tpy,ofmsw_food_green_2022_tpy,ofmsw_food_green_wood_2022_tpy,ofmsw_food_green_2030_tpy,ofmsw_food_green_wood_2030_tpy,ofmsw_food_green_2040_tpy,ofmsw_food_green_wood_2040_tpy,ofmsw_food_green_2050_tpy,ofmsw_food_green_wood_2050_tpy,landfill_dump_uncollected_frac,known_diversion_or_treatment_frac,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy
PHL,E. Asia & Pacific,Philippines,LMIC,LMIC,361751145451.6,111477954.0,2020.0,16628026.0,0.4086569046328062,17440184.806619525,113517326.0,19140799.800906707,120957813.0,25446097.000173654,129206096.0,30275594.7342175,134243619.0,0.5231,,,,0.5498,,,,,,,,,,,,0.4502,0.5498,0.5231,,,,0.5498,,,,,,,,,,,,0.4502,0.5498,0.5231,0.5231,8698120.4006,8698120.4006,9122960.672342673,9122960.672342673,10012552.375854298,10012552.375854298,13310853.340790838,13310853.340790838,15837163.605469173,15837163.605469173,1.0,,9122960.672342673
WSM,E. Asia & Pacific,Samoa,LMIC,LMIC,868898358.27,210867.0,2020.0,19780.378935,0.257,17710.76835479745,214537.0,20452.811841681272,225215.0,27155.62044167676,245914.0,38046.653642457975,271529.0,0.5353,0.1912,,0.989,0.2956,,,,0.233524,,,0.026604,0.005912,,,0.032516,0.7044,,0.5353,0.1912,,0.989,0.2956,,,,0.233524,,,0.026604,0.005912,,,0.032516,0.7044,,0.7265,0.7265,14370.445296277501,14370.445296277501,12866.873209760346,12866.873209760346,14858.967802981446,14858.967802981446,19728.558250878166,19728.558250878166,27640.89387124572,27640.89387124572,0.937924,0.065032,12068.149188391262
SGP,E. Asia & Pacific,Singapore,HIC,HIC,505439514078.0,5765718.0,2023.0,1851948.6216,0.88,1787655.021598317,5534051.0,1974930.4135742343,6018264.0,2063437.837360758,6195539.0,2033048.053511439,6090563.0,0.11010292524377,0.0299295774647887,0.0567443120260022,,1.0,,0.05,,,,,0.52,0.43,,,,,,0.11010292524377,0.0299295774647887,0.0567443120260022,,1.0,,0.05,,,,,0.52,0.43,,,,,,0.1400325027085587,0.19677681473456088,259333.00037031353,364420.5508105086,250329.80665393485,351769.06099435943,276554.4484880489,388620.5161055468,288948.36454916286,406036.7250386209,284692.8070599705,400056.72017228004,0.05,0.95,12516.490332696743
SLB,E. Asia & Pacific,Solomon Islands,LMIC,LMIC,1469789119.09,673962.0,2017.0,211556.67179999998,0.86,229828.18990963613,771660.0,282898.3102816605,928225.0,353593.48940772243,1126393.0,420593.6753467045,1300802.0,0.622,,,0.12,,,0.0954102833684694,,,,,,,,,,,0.904589716631531,0.622,,,0.12,,,0.0954102833684694,,,,,,,,,,,0.904589716631531,0.622,0.622,131588.24985959998,131588.24985959998,142953.1341237937,142953.1341237937,175962.74899519284,175962.74899519284,219935.15041160336,219935.15041160336,261609.26606565018,261609.26606565018,1.0000000000000004,,142953.13412379374
TWN,E. Asia & Pacific,"Taiwan, China",HIC,HIC,,23370002.0,2023.0,11579543.0,1.3574998984795017,11671924.670673843,23470220.0,11599439.803607343,22645122.0,11711797.39038505,21336384.0,11297974.923177201,19535308.0,0.1741,0.038,,,,,,0.0140205878591236,,,0.041328487661387,0.541793575100503,0.38167844793184,,,0.0139016712490294,,0.0073,0.1741,0.038,,,,,,0.0140205878591236,,,0.041328487661387,0.541793575100503,0.38167844793184,,,0.0139016712490294,,0.0073,0.2121,0.2121,2456021.0703000003,2456021.0703000003,2475615.222649922,2475615.222649922,2460241.1823451174,2460241.1823451174,2484072.2265006695,2484072.2265006695,2396300.4812058844,2396300.4812058844,0.0213205878591236,0.9787021819427594,52781.5718598915
THA,E. Asia & Pacific,Thailand,UMIC,UMIC,515906283941.0,71715662.0,2023.0,26950000.0,1.0295605503628507,26723549.584977396,71754996.0,29470299.471328408,71268393.0,32162021.250046946,69653059.0,33360259.999829587,66577960.00000001,0.64,0.01,,,0.722820037105751,,,,,,,0.345454545454545,,,,,0.277179962894249,0.37,0.64,0.01,,,0.722820037105751,,,,,,,0.345454545454545,,,,,0.277179962894249,0.37,0.65,0.65,17517500.0,17517500.0,17370307.23023531,17370307.23023531,19155694.656363465,19155694.656363465,20905313.812530514,20905313.812530514,21684168.999889232,21684168.999889232,0.647179962894249,0.345454545454545,11241714.788725391
TLS,E. Asia & Pacific,Timor-Leste,LMIC,LMIC,3624889673.0,1338533.0,2021.0,240276.04323100002,0.4918,201508.20522181073,1361744.0,213144.35818533957,1508837.0,311785.99613392097,1709157.0,353408.41427289165,1880897.0,0.5857,,,,,,,,,,,,,,,,,1.0,0.5857,,,,,,,,,,,,,,,,,1.0,0.5857,0.5857,140729.6785203967,140729.6785203967,118023.35579841454,118023.35579841454,124838.65058915339,124838.65058915339,182613.0579356375,182613.0579356375,206991.30823963264,206991.30823963264,1.0,,118023.35579841454
TON,E. Asia & Pacific,Tonga,UMIC,UMIC,518228029.0,105711.0,2021.0,9476.0,0.24559075058997112,9232.137376569548,105268.0,9304.262822268573,102154.0,11231.892393956643,102455.0,14550.552536338535,105077.0,0.3998,,,0.71,0.9054,,,0.322,,,,0.091,,,,,0.0946,0.4924,0.3998,,,0.71,0.9054,,,0.322,,,,0.091,,,,,0.0946,0.4924,0.3998,0.3998,3788.5047999999997,3788.5047999999997,3691.0085231525054,3691.0085231525054,3719.8442763429753,3719.8442763429753,4490.510579103866,4490.510579103866,5817.310904028146,5817.310904028146,0.909,0.091,3355.1267475456275
TUV,E. Asia & Pacific,Tuvalu,UMIC,UMIC,54129199.0,10670.0,2019.0,1642.6,0.4217688821558332,1488.4884112832274,10080.0,1389.7616275538248,9073.0,1514.9922252223766,9119.0,1741.0018499883058,9748.0,0.42,,,0.47,0.9469,0.354316327773043,,,,,,0.0627054669426519,,,,,0.0531,0.529878205284305,0.42,,,0.47,0.9469,0.354316327773043,,,,,,0.0627054669426519,,,,,0.0531,0.529878205284305,0.42,0.42,689.8919999999999,689.8919999999999,625.1651327389554,625.1651327389554,583.6998835726064,583.6998835726064,636.2967345933981,636.2967345933981,731.2207769950884,731.2207769950884,0.9372945330573479,0.0627054669426519,585.9638611742942
VUT,E. Asia & Pacific,Vanuatu,LMIC,LMIC,936526267.62,288628.0,2019.0,41610.0,0.39497207478137947,40184.553821900816,309361.0,50502.59687498324,368642.0,63131.34084056585,447403.0,77068.24862387212,530264.0,0.3721,,,0.12,0.4189,0.40210890685903783,,,,,0.0017790272848915007,0.015012065856070735,,,,,0.5811,,0.3721,,,0.12,0.4189,0.40210890685903783,,,,,0.0017790272848915007,0.015012065856070735,,,,,0.5811,,0.3721,0.3721,15483.081,15483.081,14952.672477129294,14952.672477129294,18792.016297181264,18792.016297181264,23491.17192677455,23491.17192677455,28677.095312942813,28677.095312942813,0.9832089068590377,0.016791093140962235,14701.600760859512
