iso3,country_wdi,gdp_current_usd_2022,gdp_per_capita_current_usd_2022,population_wdi_2022,urban_population_pct_2022
ESP,Spain,1448850658406.62,30319.4987196616,47786102.0,79.9548794567814
EST,Estonia,38226641740.29,28340.3826549406,1348840.0,70.4892333736738
ETH,Ethiopia,123140304666.0,982.103161506992,125384287.0,22.7367687225342
EUU,European Union,17023612496380.4,38066.8844892624,447202673.0,74.7659603902094
FCS,Fragile and conflict affected situations,1918272363969.18,1850.91743054769,1036390026.0,45.5264138281594
FIN,Finland,280253099309.34,50440.560224974,5556106.0,73.6967597835949
FJI,Fiji,4977861885.60316,5414.12092119088,919422.0,58.1352701465266
FRA,France,2794788137066.94,40988.6396406579,68184457.0,78.7591921123356
FRO,Faroe Islands,3615241800.50058,67058.2022648126,53912.0,38.9959824546757
FSM,"Micronesia, Fed. Sts.",415956900.0,3710.12451611752,112114.0,22.4122701819053
GAB,Gabon,20440655695.1804,8409.2074145028,2430747.0,91.2243355459988
GBR,United Kingdom,3181244350465.41,47057.043229179,67604000.0,83.0753982997505
GEO,Georgia,24984568959.605,6729.84659930283,3712502.0,60.0101622679115
GHA,Ghana,73919003209.9866,2229.89122647803,33149152.0,57.250609602871
GIB,Gibraltar,,,37609.0,100.0
GIN,Guinea,19910452541.9219,1416.59612011764,14055137.0,37.2384967469106
GMB,"Gambia, The",2204734527.88096,836.244875868476,2636470.0,63.2869880996278
GNB,Guinea-Bissau,1859601384.05928,883.199131457831,2105529.0,45.1627159118652
GNQ,Equatorial Guinea,13687643435.6249,7589.29964909381,1803545.0,70.8910029445467
GRC,Greece,217990189600.69,20886.5243087629,10436882.0,78.5502190980809
GRD,Grenada,1224007407.40741,10469.3867012856,116913.0,36.3688840183487
GRL,Greenland,3152334771.77992,55635.0006491223,56661.0,87.8049405256832
GTM,Guatemala,95641446500.6523,5358.70156997677,17847877.0,55.2581228215265
GUM,Guam,6910000000.0,41833.1517132825,165180.0,94.1068261842046
GUY,Guyana,14718388489.2086,17913.4928066879,821637.0,26.4536735068183
HKG,"Hong Kong SAR, China",358679533984.718,48825.8441873536,7346100.0,100.0
HND,Honduras,31426041806.7985,3003.28996826399,10463872.0,57.8364689017254
HPC,Heavily indebted poor countries (HIPC),1002501492801.3,1121.48387311982,893906294.0,36.9472479538651
HRV,Croatia,71196498671.1145,18465.5414420364,3855641.0,56.9977571733605
