iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,ad_screen_avoided_grid_tco2e,ad_screen_grid_credit_share,compost_screen_net_gwp100_benefit_tco2e,ad_minus_compost_tco2e,best_screening_pathway
LVA,Latvia,Eur. & Cent. Asia,HIC,288354.93693484546,151469.20250485567,135.19,81747.1989861111,2991.7184970134376,0.0365971988535256,78755.48048909767,2991.7184970134404,AD
LIE,Liechtenstein,Eur. & Cent. Asia,HIC,10502.1336,,,,,,,,
LTU,Lithuania,Eur. & Cent. Asia,HIC,458579.4000000001,62550.23016000001,180.69,21499.592520530612,1651.2576766634104,0.0768041382685078,19848.3348438672,1651.257676663412,AD
LUX,Luxembourg,Eur. & Cent. Asia,HIC,147067.63397839235,,140.5,,,,,,
MDA,Moldova,Eur. & Cent. Asia,UMIC,432587.3863270952,406199.5557611424,647.28,145937.665733215,38413.46221220809,0.2632182858291757,107524.2035210069,38413.46221220809,AD
MCO,Monaco,Eur. & Cent. Asia,HIC,0.0,,,,,,,,
MNE,Montenegro,Eur. & Cent. Asia,UMIC,124907.6642607033,119652.80069702394,483.38,46468.621701863995,8450.129518649603,0.1818459254691137,38018.492183214395,8450.129518649599,AD
NLD,Netherlands,Eur. & Cent. Asia,HIC,2837429.9999999995,40001.99999999995,325.61,23426.91985051761,1902.967010517632,0.081229927906019,21523.952839999976,1902.9670105176338,AD
MKD,North Macedonia,Eur. & Cent. Asia,UMIC,395506.4947055508,394319.97522143414,624.58,141189.98906107762,35982.27935043104,0.2548500753468109,105207.7097106466,35982.279350431025,AD
NOR,Norway,Eur. & Cent. Asia,HIC,1349068.6536326169,48362.71420357193,29.64,27964.031350762645,209.43086442419715,0.0074892944367438,27754.600486338448,209.43086442419735,AD
POL,Poland,Eur. & Cent. Asia,HIC,4608423.59589,1755809.3900340905,732.48,1150998.1741168662,187899.21165409393,0.163248922439225,963098.962462772,187899.21165409416,AD
PRT,Portugal,Eur. & Cent. Asia,HIC,2160428.335104,1274652.7177113595,225.34,708107.6649699449,41964.49352852719,0.0592628714593964,666143.1714414177,41964.49352852721,AD
ROU,Romania,Eur. & Cent. Asia,HIC,3243655.8,2569672.824689526,297.77,889940.2903886372,111791.96561615488,0.1256173777314153,778148.3247724824,111791.96561615483,AD
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,18346960.000000004,16686239.999999998,436.33,7846636.851280214,1063715.2352802143,0.135563204394589,6782921.616,1063715.2352802139,AD
SMR,San Marino,Eur. & Cent. Asia,HIC,0.0,,,,,,,,
SRB,Serbia,Eur. & Cent. Asia,UMIC,1163047.0458371218,944856.5210031325,710.68,384226.595358619,98105.14366845052,0.2553314758882939,286121.45169016847,98105.14366845053,AD
SVK,Slovak Republic,Eur. & Cent. Asia,HIC,1493779.1611913927,587505.7130312454,142.05,190101.3277987865,12192.847778664756,0.0641386776191817,177908.48002012173,12192.847778664756,AD
SVN,Slovenia,Eur. & Cent. Asia,HIC,239576.67990000025,60910.83052865346,257.49,22479.37689541871,2291.430598681218,0.1019347915799307,20187.946296737497,2291.430598681214,AD
ESP,Spain,Eur. & Cent. Asia,HIC,13999408.33484953,6920858.883168927,217.13,2960743.104960896,219549.09239787047,0.0741533745464114,2741194.0125630256,219549.0923978705,AD
SWE,Sweden,Eur. & Cent. Asia,HIC,1568254.1966426868,25092.06714628299,41.03,7748.794298631352,150.4145253939368,0.0194113457651733,7598.379773237415,150.41452539393686,AD
CHE,Switzerland,Eur. & Cent. Asia,HIC,2438533.795956426,,37.27,,,,,,
TJK,Tajikistan,Eur. & Cent. Asia,LMIC,0.0,0.0,86.55,,0.0,,,,
TKM,Turkmenistan,Eur. & Cent. Asia,UMIC,139158.52244920068,137766.93722470867,1306.14,53019.297012329465,26289.75585199149,0.4958525920454564,26729.541160337976,26289.75585199149,AD
TUR,Türkiye,Eur. & Cent. Asia,UMIC,16819598.6378,14745785.01403083,487.93,5516498.97959215,1051180.3616433337,0.1905520812261711,4465318.617948815,1051180.3616433349,AD
UKR,Ukraine,Eur. & Cent. Asia,LMIC,4911021.645978112,4544056.5470411,250.47,1987767.795005065,166284.30616619537,0.0836537882261905,1821483.4888388696,166284.3061661953,AD
GBR,United Kingdom,Eur. & Cent. Asia,HIC,11979505.89497371,1103312.4929270786,254.98,430265.00536887185,41101.386480320085,0.0955257480098418,389163.6188885518,41101.38648032007,AD
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,2794904.605,2649569.56554,1121.35,1280955.171062777,434078.5579667844,0.338870998589779,846876.6130959927,434078.55796678434,AD
ATG,Antigua and Barbuda,L. Amer. & the Caribbean,HIC,8473.042753654441,8473.042753654441,611.11,3313.0910548241054,756.502918678444,0.2283374969658379,2556.5881361456613,756.5029186784441,AD
ARG,Argentina,L. Amer. & the Caribbean,UMIC,7546484.5,7546484.5,392.69,4034369.74253424,432958.5754815736,0.1073175249449509,3601411.167052666,432958.5754815736,AD
ABW,Aruba,L. Amer. & the Caribbean,HIC,0.0,0.0,550.0,,0.0,,,,
BHS,"Bahamas, The",L. Amer. & the Caribbean,HIC,0.0,0.0,653.66,,0.0,,,,
BRB,Barbados,L. Amer. & the Caribbean,HIC,130012.8656508359,124552.3252935008,605.51,58674.0565492919,11018.563516511029,0.1877927684658102,47655.49303278087,11018.563516511029,AD
BLZ,Belize,L. Amer. & the Caribbean,UMIC,45525.40345874397,45525.40345874397,170.21,9964.954170349003,1132.1153912834982,0.1136096937256509,8832.838779065507,1132.1153912834961,AD
BOL,Bolivia,L. Amer. & the Caribbean,LMIC,1799294.875,1744596.3108,485.86,791991.0803330067,123839.13654999073,0.1563643071559851,668151.943783016,123839.13654999074,AD
BRA,Brazil,L. Amer. & the Caribbean,UMIC,37060612.217999995,36455168.41113391,103.39,16651996.318660218,550667.5233469219,0.0330691595655617,16101328.795313297,550667.5233469214,AD
VGB,British Virgin Islands,L. Amer. & the Caribbean,HIC,18294.716441987115,3611.377025648256,647.06,1042.083841275887,341.4044707596124,0.327617085340859,700.6793705162746,341.4044707596123,AD
CYM,Cayman Islands,L. Amer. & the Caribbean,HIC,0.0,0.0,642.86,,0.0,,,,
CHL,Chile,L. Amer. & the Caribbean,HIC,5003035.722279791,4871690.718998549,372.8,2646986.630104001,265342.8762942747,0.1002433761004109,2381643.7538097263,265342.8762942748,AD
COL,Colombia,L. Amer. & the Caribbean,UMIC,8876117.097379997,7374774.949379996,202.15,3607689.9932315857,217808.25577632707,0.0603733292452951,3389881.7374552586,217808.2557763271,AD
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,859964.3293770495,777114.5525457509,24.12,227627.39647982555,2738.508952146156,0.0120306650012089,224888.88752767936,2738.5089521461923,AD
CUB,Cuba,L. Amer. & the Caribbean,UMIC,3178327.33587099,2918259.5950309555,640.26,839181.5328740433,272980.8062461375,0.3252941056879888,566200.7266279059,272980.8062461375,AD
CUW,Curaçao,L. Amer. & the Caribbean,HIC,60694.29721937584,37878.140556145896,,,,,14999.154517293144,,AD
DMA,Dominica,L. Amer. & the Caribbean,UMIC,0.0,,600.0,,,,,,
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,2652063.601394931,2492939.785311235,580.06,858472.5722974121,211269.3648132672,0.2460991435613092,647203.2074841448,211269.36481326725,AD
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,2973131.079,2952319.161447,181.19,787553.336689682,78153.66517063927,0.0992360282532,709399.6715190427,78153.66517063929,AD
SLV,El Salvador,L. Amer. & the Caribbean,UMIC,617672.8094838249,613596.1689412317,113.12,177160.12677935508,10140.838248017815,0.0572410871022223,167019.28853133725,10140.838248017826,AD
GRD,Grenada,L. Amer. & the Caribbean,UMIC,9214.0,9186.358,666.67,4647.978197482112,894.7590471221123,0.1925050009070219,3753.219150359999,894.7590471221129,AD
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,3769255.923212073,3769255.923212073,191.4,1180372.8094748172,105402.12800790384,0.0892956252142069,1074970.6814669133,105402.12800790393,AD
GUY,Guyana,L. Amer. & the Caribbean,HIC,130373.20831577366,130373.20831577366,648.44,45447.765861194166,12351.223198151862,0.271767444760096,33096.5426630423,12351.223198151863,AD
HTI,Haiti,L. Amer. & the Caribbean,LMIC,1691562.418123816,1691562.418123816,534.65,460329.3693277211,132132.4289633384,0.2870388851276393,328196.9403643827,132132.42896333843,AD
HND,Honduras,L. Amer. & the Caribbean,LMIC,1979177.1515607685,1979177.1515607685,296.56,585333.9825100782,85752.94845181404,0.1465025968321214,499581.0340582642,85752.94845181401,AD
JAM,Jamaica,L. Amer. & the Caribbean,UMIC,696947.8571522365,696947.8571522365,561.25,192370.80026757077,57148.977022893865,0.2970771912546223,135221.8232446769,57148.97702289387,AD
MEX,Mexico,L. Amer. & the Caribbean,UMIC,21421730.874147315,19551613.768834252,464.38,9733993.479421817,1326502.0830342353,0.136275217960494,8407491.39638758,1326502.083034236,AD
NIC,Nicaragua,L. Amer. & the Caribbean,LMIC,0.0,0.0,289.35,,0.0,,,,
