iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data
BEL,Belgium,Eur. & Cent. Asia,HIC,Liege,lieg,195346.0,677589.0,2020.0,101579.92,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
BLZ,Belize,L. Amer. & the Caribbean,UMIC,Belize City,bzec,57169.0,,2019.0,19292.61,0.925,0.4263,0.0637,,0.01,,,,0.9,,,,,,,,,,0.1,0.49,9453.3789,1.0,9453.3789,,,,,,False,False
BLZ,Belize,L. Amer. & the Caribbean,UMIC,San Pedro,spro,19477.0,358418.0,2018.0,7665.0,1.078,0.4046,0.06,,,,,,,,,,,,,,,,,0.4646,3561.159,,,,,,,,False,False
BEN,Benin,Sub-Saharan Africa,LMIC,Cotonou,coto,686474.0,691949.0,2021.0,365000.0,1.457,,,,0.0068000000000000005,0.5,,0.5,,,,,,,,,,0.5,,,,1.0,,,,,,,False,False
BEN,Benin,Sub-Saharan Africa,LMIC,Porto Novo,pono,,,,,,,,,,0.3132,0.3132,,,,,,,,,,,0.6868,,,,1.0,,,,,,,False,False
BTN,Bhutan,S. Asia,LMIC,Thimphu,tipu,117415.0,,2019.0,23287.0,0.543,0.564,,0.002,,0.821,,0.6317,,,,0.0392,0.2053,,,,,,0.1238,0.564,13133.867999999999,0.7555000000000001,9922.637274,0.0392,,,,912.8504,False,True
BOL,Bolivia,L. Amer. & the Caribbean,LMIC,La Paz,lapa,956732.0,1857797.0,2022.0,235879.0,0.68,0.6349,0.017,0.003,,0.96,,,0.96,,,,,,,,,0.04,,0.6519,153769.5201,1.0,153769.5201,,,,,,False,False
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,Banja Luka,bnja,182157.0,,2016.0,59383.0,0.893,0.3114,,,0.01,,,,,0.98,,,0.02,,,,,,,0.3114,18491.8662,0.98,18122.028876,,,,,,False,False
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,Sarajevo,srjv,438443.0,342373.0,2014.0,202667.0,1.266,0.15,,,0.0095,1.0,1.0,,,,,,,,,,,,,0.15,30400.05,1.0,30400.05,,,,,,False,False
BWA,Botswana,Sub-Saharan Africa,UMIC,Gaborone,gbrn,210000.0,,2011.0,53655.0,0.7,0.25,0.1,,,0.8,,,,,,,,,,,,,,0.35,18779.25,,,,,,,,False,False
BRA,Brazil,L. Amer. & the Caribbean,UMIC,"Distrito Federal, Brasilia",dfbr,2982818.0,4990929.0,2024.0,730174.41,0.67,0.2,0.21,,0.009883999999999999,,,,0.985278590454937,,,,,,,,,,0.0147214095450628,0.41000000000000003,299371.50810000004,0.9999999999999999,299371.5081,,,,,,False,False
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Rio De Janeiro,rioj,6211223.0,13458075.0,2022.0,3133457.0,1.382,0.45,,,0.009796000000000001,,,,0.9548,,,,0.0139,0.0011,,,,,0.0302,0.45,1410055.6500000001,0.985,1388904.8152500002,,,,,,False,False
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Sao Paulo,saop,11451999.0,22043028.0,2022.0,4119170.2,0.985,0.47,,,0.009899,,,,0.9822777699999999,,,,,,,,0.007622230000000001,0.010099999999999998,,0.47,1936009.994,0.9923777699999999,1921253.2805434333,,,,,,False,False
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,Burgas,bgas,205329.0,,2020.0,70729.65,0.944,0.0957,0.0674,,,,,,,0.66,,,0.34,,,,,,,0.1631,11536.005914999998,0.66,7613.763903899999,,,,,,False,False
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,Sofia,sfia,1308412.0,1280968.0,2020.0,627663.0,1.314,0.09,0.05,0.03,0.01,1.0,,,,0.0952,,,0.0259,,0.6219,,,,0.257,0.14,87872.82,0.3522,30948.807204000004,,,,,,False,False
BFA,Burkina Faso,Sub-Saharan Africa,LIC,Ouagadougou,ogod,2500000.0,2780331.0,2020.0,775625.0,0.85,0.3219,,,,0.773569701853344,,,,,,,,,,,,0.226430298146656,0.773569701853344,0.3219,249673.68750000003,1.0,249673.68750000003,,,,,,False,False
BDI,Burundi,Sub-Saharan Africa,LIC,Bujumbura,buju,800000.0,1012996.0,2021.0,204400.0,0.7,0.85,,,,0.46,0.46,,,,,,,,,,,0.54,,0.85,173740.0,1.0,173740.0,,,,,,False,False
KHM,Cambodia,E. Asia & Pacific,LMIC,Phnom Penh,phph,2147000.0,1778611.0,2016.0,1031909.5,1.317,0.4918,0.0669,,0.0091,0.833,0.0949,,,0.5791,,,0.0692,,,,,0.167,0.0898,0.5587,576527.83765,0.9308,536632.11128462,,,,,,False,False
CMR,Cameroon,Sub-Saharan Africa,LMIC,Yaounde,yaud,1881876.0,,2013.0,281622.7434,0.41,0.77,,,,0.2,,,,,,,,,,,,,,0.77,216849.512418,,,,,,,,False,False
CAN,Canada,N. Amer.,HIC,Ottawa,otwa,1000000.0,1308329.0,2015.0,861000.0,2.359,0.1823,0.072,0.0325,,,,,0.529,,,0.2874,0.1833,,,,,,0.0003,0.25429999999999997,218952.3,0.5293,115891.45238999999,0.2874,,,,99400.0,False,True
CAN,Canada,N. Amer.,HIC,Toronto,trto,3110984.0,6491286.0,2023.0,712300.0,0.627,0.46,,,,0.9732303804576723,,,0.4641,,,0.347,0.1889,,,,,,,0.46,327658.0,0.4641,152066.0778,0.347,,,,247168.1,False,True
CAN,Canada,N. Amer.,HIC,Vancouver,vcvr,2807469.0,2581079.0,2021.0,1801113.0,1.758,0.3788,,,,,,,0.3563,,,,0.5096,0.1341,,,,,,0.3788,682261.6044000001,0.3563,243089.80964772002,,,,,,False,False
CHL,Chile,L. Amer. & the Caribbean,HIC,Santiago De Chile,sadc,8271775.0,6767223.0,2022.0,225935.0,0.075,0.48955815789473683,,,0.00995,,,0.021,0.979,,,,,,,,,,,0.48955815789473683,110608.32240394737,1.0,110608.32240394737,,,,,,False,False
CHN,China,E. Asia & Pacific,UMIC,Beijing,beij,21858000.0,22596455.0,2022.0,7406000.0,0.952,0.5332,,0.0084,,1.0,,,0.0582,,,,,0.6632,,,0.2786,,,0.5332,3948879.2,0.0582,229824.76944,,1914425.0,,,,True,False
CHN,China,E. Asia & Pacific,UMIC,Shanghai,shha,24750000.0,27058479.0,2022.0,8901000.0,0.985,0.604,,0.0195,0.01,1.0,,,0.018537243006403775,,,,,0.7464329850578587,,,0.21952589596674532,,,0.604,5376204.0,0.018537243006403775,99660.0,,,,,,False,False
COL,Colombia,L. Amer. & the Caribbean,UMIC,Bogotá,bogo,7968095.0,10978360.0,2023.0,2667955.0,0.92,0.56,,0.101,,1.0,,,1.0,,,,,,,,,,,0.56,1494054.8,1.0,1494054.8,,,,,,False,False
COL,Colombia,L. Amer. & the Caribbean,UMIC,Cali,cali,2280522.0,2781980.0,2023.0,562990.0,0.68,0.5225,,,,,,,1.0,,,,,,,,,,,0.5225,294162.27499999997,1.0,294162.27499999997,,,,,,False,False
COL,Colombia,L. Amer. & the Caribbean,UMIC,Medellin,mede,2595300.0,3735098.0,2023.0,678060.0,0.72,0.537,0.031,0.006,,,,,1.0,,,,,,,,,,,0.5680000000000001,385138.08,1.0,385138.08,,,,,,False,False
COM,Comoros,Sub-Saharan Africa,LMIC,Moroni,moro,70000.0,,2021.0,16863.0,0.66,0.63,,,,,,,,,,,,,,,,,,0.63,10623.69,,,,,,,,False,False
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,LIC,Kinshasa,kins,12000000.0,17778474.0,2023.0,2847000.0,0.65,0.65,,,0.0025,0.2222,,0.22,,,,,,,,,,0.78,,0.65,1850550.0,1.0,1850550.0,,,,,,False,False
COG,"Congo, Rep.",Sub-Saharan Africa,LMIC,Brazzaville,braz,1960000.0,2388090.0,2019.0,372482.0,0.521,0.32,,0.05,,,0.35,,,,,,,,,,,0.65,,0.32,119194.24,1.0,119194.24,,,,,,False,False
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,Alajuela,alja,306206.0,365584.0,2018.0,99470.9,0.8899989343730369,0.511,,,,1.0,,,1.0,,,,,,,,,,,0.511,50829.6299,1.0,50829.6299,,,,,,False,False
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,San José,sanj,342188.0,1399629.0,2018.0,142384.31,1.139999064841549,0.4879,,,,,,,1.0,,,,,,,,,,,0.4879,69469.304849,1.0,69469.304849,,,,,,False,False
CIV,Côte d’Ivoire,Sub-Saharan Africa,LMIC,Abidjan,abid,5551934.0,5202762.0,2020.0,1818795.0,0.898,0.453,,0.003,,0.85,,,0.85,,,,,,,,,0.15,,0.453,823914.135,1.0,823914.135,,,,,,False,False
HRV,Croatia,Eur. & Cent. Asia,HIC,Split,splt,176314.0,,2020.0,246396.0,3.829,,,,,,,,,0.87,,,0.113,,,,,,0.017,,,0.887,,,,0.0,,,False,True
HRV,Croatia,Eur. & Cent. Asia,HIC,Zagreb,zagr,790000.0,684878.0,2020.0,384240.576,1.333,,,,,,,,,,,,,,,,,,,,,,,,,27033.0,,13132.38228624,False,True
CUB,Cuba,L. Amer. & the Caribbean,UMIC,Havana,hava,2138420.0,2140423.0,2019.0,546366.31,0.7,0.6022333333333334,0.09013333333333334,,,,,,,,,,,,,,,,,0.6923666666666668,378285.8208336668,,,,,,,,False,False
CYP,Cyprus,Eur. & Cent. Asia,HIC,Nicosia,nico,326980.0,,2022.0,186843.0,1.566,,,,,,,,,,,,,,,,,,,,,,,,292800.0,11666.0,,,True,True
