iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
BEN,Benin,Sub-Saharan Africa,LMIC,Cotonou,coto,686474.0,691949.0,2021.0,365000.0,1.457,,,,0.0068,0.5,,0.5,,,,,,,,,,0.5,,,,1.0,,,,,,,False,False,Prevention,270381.3145359311,0.6146299650082516,0.4899389088202,Longer-term / local fit,Prevention,0.764,,
BEN,Benin,Sub-Saharan Africa,LMIC,Porto Novo,pono,,,,,,,,,,0.3132,0.3132,,,,,,,,,,,0.6868,,,,1.0,,,,,,,False,False,Prevention,270381.3145359311,0.6146299650082516,0.4899389088202,Longer-term / local fit,Prevention,0.764,,
BTN,Bhutan,S. Asia,LMIC,Thimphu,tipu,117415.0,,2019.0,23287.0,0.543,0.564,,0.002,,0.821,,0.6317,,,,0.0392,0.2053,,,,,,0.1238,0.564,13133.868,0.7555000000000001,9922.637274,0.0392,,,,912.8504,False,True,Prevention,8896.535944397348,0.1938297859131287,0.6150380801232654,No-regret / complementary,Prevention,0.803,0.009922637274000001,0.013133868
BOL,Bolivia,L. Amer. & the Caribbean,LMIC,La Paz,lapa,956732.0,1857797.0,2022.0,235879.0,0.68,0.6349,0.017,0.003,,0.96,,,0.96,,,,,,,,,0.04,,0.6519,153769.5201,1.0,153769.5201,,,,,,False,False,Prevention,878023.65563584,0.7598000137893943,0.646510180895098,Immediate priority,Prevention,0.669,0.1537695201,0.1537695201
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,Banja Luka,bnja,182157.0,,2016.0,59383.0,0.893,0.3114,,,0.01,,,,,0.98,,,0.02,,,,,,,0.3114,18491.8662,0.98,18122.028876,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.018122028876,0.018491866200000002
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,Sarajevo,srjv,438443.0,342373.0,2014.0,202667.0,1.266,0.15,,,0.0095,1.0,1.0,,,,,,,,,,,,,0.15,30400.05,1.0,30400.05,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.030400049999999998,0.030400049999999998
BWA,Botswana,Sub-Saharan Africa,UMIC,Gaborone,gbrn,210000.0,,2011.0,53655.0,0.7,0.25,0.1,,,0.8,,,,,,,,,,,,,,0.35,18779.25,,,,,,,,False,False,Prevention,15351.936396533012,0.2610730465966596,0.7574146320321912,No-regret / complementary,Prevention,0.772,,0.01877925
BRA,Brazil,L. Amer. & the Caribbean,UMIC,"Distrito Federal, Brasilia",dfbr,2982818.0,4990929.0,2024.0,730174.41,0.67,0.2,0.21,,0.0098839999999999,,,,0.985278590454937,,,,,,,,,,0.0147214095450628,0.41,299371.50810000004,1.0,299371.5081,,,,,,False,False,Prevention,19417021.35656409,1.0,0.8053680471703467,Immediate priority,Prevention,0.592,0.29937150809999996,0.2993715081
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Rio De Janeiro,rioj,6211223.0,13458075.0,2022.0,3133457.0,1.382,0.45,,,0.009796,,,,0.9548,,,,0.0139,0.0011,,,,,0.0302,0.45,1410055.65,0.985,1388904.8152500002,,,,,,False,False,Prevention,19417021.35656409,1.0,0.8053680471703467,Immediate priority,Prevention,0.592,1.3889048152500003,1.4100556499999999
BRA,Brazil,L. Amer. & the Caribbean,UMIC,Sao Paulo,saop,11451999.0,22043028.0,2022.0,4119170.2,0.985,0.47,,,0.009899,,,,0.98227777,,,,,,,,0.00762223,0.0100999999999999,,0.47,1936009.994,0.99237777,1921253.2805434333,,,,,,False,False,Prevention,19417021.35656409,1.0,0.8053680471703467,Immediate priority,Prevention,0.592,1.9212532805434333,1.936009994
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,Burgas,bgas,205329.0,,2020.0,70729.65,0.944,0.0957,0.0674,,,,,,,0.66,,,0.34,,,,,,,0.1631,11536.005914999998,0.66,7613.763903899999,,,,,,False,False,AD-bio-CNG,208690.4100468438,0.5827102394175456,0.7470669689449334,No-regret / complementary,AD-bio-CNG,0.886,0.007613763903899999,0.011536005914999998
BGR,Bulgaria,Eur. & Cent. Asia,UMIC,Sofia,sfia,1308412.0,1280968.0,2020.0,627663.0,1.314,0.09,0.05,0.03,0.01,1.0,,,,0.0952,,,0.0259,,0.6219,,,,0.257,0.14,87872.82,0.3522,30948.807204000004,,,,,,False,False,AD-bio-CNG,208690.4100468438,0.5827102394175456,0.7470669689449334,No-regret / complementary,AD-bio-CNG,0.886,0.030948807204000003,0.08787282
