iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,ad_screen_avoided_landfill_gwp20_tco2e,bio_cng_screen_avoided_landfill_gwp20_tco2e,compost_screen_avoided_landfill_gwp20_tco2e,prevention_screen_avoided_landfill_gwp20_tco2e,ad_screen_net_gwp20_benefit_tco2e,bio_cng_screen_net_gwp20_benefit_tco2e,compost_screen_net_gwp20_benefit_tco2e,prevention_screen_net_gwp20_benefit_tco2e,best_four_pathway_screen_gwp20,best_four_pathway_benefit_gwp20_tco2e
PNG,Papua New Guinea,E. Asia & Pacific,LMIC,667707.2011297392,667707.2011297392,529.41,5670.970800635102,26851.65227368407,19841.32010589088,5670.970800635102,43576.14461476607,6362.835648301714,19841.32010589088,5670.970800635102,9087.49500737575,2835.485400317551,200312.1603389218,458214.4406913162,458214.4406913162,458214.4406913162,229107.2203456581,465224.77285910945,475586.4295518897,449126.94568394043,429419.3806845799,AD-bio-CNG,475586.4295518897
PHL,Philippines,E. Asia & Pacific,LMIC,9122960.672342671,9122960.672342671,602.51,93046.90048935736,417534.99026546185,271094.2501550659,93046.90048935736,595385.9010359584,98940.15062447728,271094.2501550659,93046.90048935736,124163.49475058376,46523.450244678694,2736888.201702802,7518189.559540074,7518189.559540074,7518189.559540074,3759094.779770038,7664630.29965047,7743541.05979649,7394026.064789491,6495982.9814728405,AD-bio-CNG,7743541.05979649
WSM,Samoa,E. Asia & Pacific,LMIC,12866.873209760346,12068.149188391262,375.0,118.08804044247113,343.7674495554168,358.6122940225594,118.08804044247113,787.5958404763816,81.46000702164102,358.6122940225594,118.08804044247113,164.24751045400507,43.50483692281817,2667.617451016866,9541.513667751668,9541.513667751668,9541.513667751668,3515.190823363708,9526.668823284524,9889.03720718385,9377.266157297663,6182.808274380574,AD-bio-CNG,9889.03720718385
SGP,Singapore,E. Asia & Pacific,HIC,250329.80665393485,12516.490332696743,504.22,214.53151450961332,479.3971527591567,371.93502013028336,214.53151450961332,816.8556395439213,113.59916559994237,371.93502013028336,214.53151450961332,170.34943342800267,84.33951706785085,2952.390708070343,17334.146372376756,17334.146372376756,17334.146372376756,6814.632979082348,17441.608505005628,17665.467826190452,17163.79693894875,9767.02368715269,AD-bio-CNG,17665.467826190452
SLB,Solomon Islands,E. Asia & Pacific,LMIC,142953.1341237937,142953.13412379374,636.36,1769.9944056261725,6910.180131195879,4247.938152369005,1769.9944056261725,9329.458234346775,1637.453815758313,4247.938152369005,1769.9944056261725,1945.5921554248328,884.9972028130862,42885.94023713812,143015.54797459472,143015.54797459472,143015.54797459472,71507.77398729736,145677.7899534216,146459.61424081417,141069.9558191699,114393.71422443548,AD-bio-CNG,146459.61424081417
TWN,"Taiwan, China",E. Asia & Pacific,HIC,2475615.222649922,52781.5718598915,639.23,965.4639779599856,2562.903666769691,1568.4360767597918,965.4639779599856,3444.649697456824,607.3121552399721,1568.4360767597918,965.4639779599856,718.3571930131234,396.2453525762223,12997.555390109068,78009.48941916684,78009.48941916684,78009.48941916684,32016.62448815876,79003.95700917674,79278.3908846239,77291.13222615371,45014.17987826782,AD-bio-CNG,79278.3908846239
THA,Thailand,E. Asia & Pacific,UMIC,17370307.23023531,11241714.788725393,560.29,116234.8077439388,478451.8608107861,334054.29997584823,116234.8077439388,733660.785030634,113375.16682154912,334054.29997584823,116234.8077439388,152999.7382745526,57223.2899662468,3320629.599131192,9391772.465710254,9391772.465710254,9391772.465710254,4623641.829272741,9536170.026545193,9678003.783943491,9238772.727435702,7944271.4284039335,AD-bio-CNG,9678003.783943491
TLS,Timor-Leste,E. Asia & Pacific,LMIC,118023.35579841454,118023.35579841454,666.67,1416.2802695809744,5976.840762552912,3507.134831563368,1416.2802695809744,7702.482183043564,1416.2873509823226,3507.134831563368,1416.2802695809744,1606.297872416422,708.1401347904872,35407.00673952437,114435.44578214272,114435.44578214272,114435.44578214272,57217.72289107136,116905.15171313226,117214.5057826406,112829.14790972629,92624.72963059573,AD-bio-CNG,117214.5057826406
TON,Tonga,E. Asia & Pacific,UMIC,3691.0085231525054,3355.1267475456275,625.0,48.37288130102747,159.28752439360483,99.69960437936686,48.37288130102747,218.96347396665237,37.74517590988831,99.69960437936686,48.37288130102747,45.663275034096,24.186440650513735,1006.5380242636884,3908.5288091230195,3908.5288091230195,3908.5288091230195,1954.2644045615098,3968.1167291372576,3990.0475028004166,3862.8655340889236,2960.802428825198,AD-bio-CNG,3990.0475028004166
TUV,Tuvalu,E. Asia & Pacific,UMIC,625.1651327389554,585.9638611742942,,6.012756403562522,,17.412267713110857,6.012756403562522,38.24138171694863,,17.412267713110857,6.012756403562522,7.974968150582144,3.0063782017812617,175.7891583522883,485.83071740785175,485.83071740785175,485.83071740785175,242.91535870392593,,,477.8557492572696,418.70451705621423,Composting,477.8557492572696
