iso3,country,region,income_2022,best_four_pathway_screen,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,scenario,adjusted_first_pass_ch4_total_tpy,methane_adjustment_ratio,first_pass_ch4_total_tpy,ad_capture_sens_net_gwp100_benefit_tco2e,bio_cng_capture_sens_net_gwp100_benefit_tco2e,compost_capture_sens_net_gwp100_benefit_tco2e,prevention_capture_sens_net_gwp100_benefit_tco2e,best_pathway_landfill_capture_sensitivity
XKX,Kosovo,Eur. & Cent. Asia,UMIC,Prevention,2459.5200000000004,14712.901606120657,6090.509376000003,2459.5200000000004,13376.17234789571,3486.4064928000025,6090.509376000003,2459.5200000000004,2789.5056000000013,1229.7600000000002,61488.00000000002,low_capture,5549.292,0.9024999999999999,6148.800000000001,68998.68919012065,64175.553439095704,57586.791359999996,91676.14848000002,Prevention
KGZ,Kyrgyz Republic,Eur. & Cent. Asia,LMIC,Prevention,6264.571588149887,7074.886495385053,18841.650150286117,6264.571588149887,41380.637344081166,1676.4830536943389,18841.650150286117,6264.571588149887,8629.637582461535,3132.2857940749436,190219.78506528,low_capture,14789.746805313072,0.944342105263158,15661.428970374716,149145.68158690518,181774.94938190695,152282.80765934472,270676.00768618315,Prevention
LVA,Latvia,Eur. & Cent. Asia,HIC,AD-bio-CNG,3026.7325104471383,1555.4702918802957,4500.99823395329,3026.7325104471383,9885.23691502374,368.5881867593659,4500.99823395329,3026.7325104471383,2061.4958460910857,1513.3662552235692,45440.7607514567,low_capture,5394.225975419094,0.7128777923784493,7566.831276117845,55743.65067048676,63704.829106870835,56627.682766468664,74785.35005773658,Prevention
LIE,Liechtenstein,Eur. & Cent. Asia,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
LTU,Lithuania,Eur. & Cent. Asia,HIC,Prevention,783.9437232,858.530728360061,1858.7176193424964,783.9437232,4082.175346510071,203.43961957698724,1858.7176193424964,783.9437232,851.3086324776001,339.7389656257324,16264.496952000003,low_capture,1768.77302547,0.9025,1959.859308,18244.063626131163,21264.268624704186,18392.941884636,24604.40908018048,Prevention
LUX,Luxembourg,Eur. & Cent. Asia,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
MDA,Moldova,Eur. & Cent. Asia,UMIC,AD-bio-CNG,4305.234891391715,19972.13285240708,12070.463519175804,4305.234891391715,26509.539741899454,4732.647272155301,12070.463519175804,4305.234891391715,5528.375953909148,1402.033731078223,79369.2553033285,low_capture,10267.34058961437,0.9539401076716016,10763.087228479286,119610.33494823563,121415.09456557271,106180.28966109522,115748.06417137268,AD-bio-CNG
MCO,Monaco,Eur. & Cent. Asia,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
MNE,Montenegro,Eur. & Cent. Asia,UMIC,Prevention,1501.46710381067,4393.436562270636,3555.554764392484,1501.46710381067,7808.823595002963,1041.0798744166937,3555.554764392484,1501.46710381067,1628.4746174864958,647.7830424450686,30973.328050628505,low_capture,3413.454298969066,0.9093650577640605,3753.667759526674,37976.2645706616,40350.57172897723,35509.908155296944,46996.06642630508,Prevention
NLD,Netherlands,Eur. & Cent. Asia,HIC,AD-bio-CNG,825.9999999999991,989.4007923015956,1188.6834311999985,825.9999999999991,2610.6247378050516,234.45092195999973,1188.6834311999985,825.9999999999991,544.4272199999994,372.7964601769909,10832.399999999989,low_capture,1471.3124999999982,0.7124999999999999,2064.9999999999977,15808.597361101576,17195.370384645033,15463.452779999981,18057.19539823007,Prevention
