iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_three_pathway_screen,best_three_pathway_benefit_tco2e
IMN,Isle of Man,Eur. & Cent. Asia,HIC,0.0,0.0,,,,,,
ITA,Italy,Eur. & Cent. Asia,HIC,10080804.57,2231202.563042074,377.84,1096645.633203582,973477.3884530136,1182405.341357395,Prevention,1182405.341357395
KAZ,Kazakhstan,Eur. & Cent. Asia,UMIC,1205519.0515353277,1071465.7267506146,831.01,454548.9867396106,324461.251374621,496302.92463088466,Prevention,496302.92463088466
XKX,Kosovo,Eur. & Cent. Asia,UMIC,210420.00000000003,204960.0000000001,945.01,90364.09106578396,62065.9872,94937.47200000002,Prevention,94937.47200000002
KGZ,Kyrgyz Republic,Eur. & Cent. Asia,LMIC,634065.9502176,634065.9502176,146.89,169052.5764604837,155445.0720915459,275417.9586641185,Prevention,275417.9586641185
LVA,Latvia,Eur. & Cent. Asia,HIC,288354.93693484546,151469.20250485567,135.19,81747.1989861111,78755.48048909767,86604.32289353778,Prevention,86604.32289353778
LIE,Liechtenstein,Eur. & Cent. Asia,HIC,10502.1336,,,,,,,
LTU,Lithuania,Eur. & Cent. Asia,HIC,458579.4000000001,62550.23016000001,180.69,21499.592520530612,19848.3348438672,25505.39681701993,Prevention,25505.39681701993
LUX,Luxembourg,Eur. & Cent. Asia,HIC,147067.63397839235,,140.5,,,,,
MDA,Moldova,Eur. & Cent. Asia,UMIC,432587.3863270952,406199.5557611424,647.28,145937.665733215,107524.2035210069,117504.57278865617,AD,145937.665733215
MCO,Monaco,Eur. & Cent. Asia,HIC,0.0,,,,,,,
MNE,Montenegro,Eur. & Cent. Asia,UMIC,124907.6642607033,119652.80069702394,483.38,46468.621701863995,38018.492183214395,48593.026805134374,Prevention,48593.026805134374
NLD,Netherlands,Eur. & Cent. Asia,HIC,2837429.9999999995,40001.99999999995,325.61,23426.91985051761,21523.952839999976,20972.46371681414,AD,23426.91985051761
MKD,North Macedonia,Eur. & Cent. Asia,UMIC,395506.4947055508,394319.97522143414,624.58,141189.98906107762,105207.7097106466,175548.87992961425,Prevention,175548.87992961425
NOR,Norway,Eur. & Cent. Asia,HIC,1349068.6536326169,48362.71420357193,29.64,27964.031350762645,27754.600486338448,20418.84166632959,AD,27964.031350762645
POL,Poland,Eur. & Cent. Asia,HIC,4608423.59589,1755809.3900340905,732.48,1150998.1741168662,963098.962462772,869529.4183759743,AD,1150998.1741168662
PRT,Portugal,Eur. & Cent. Asia,HIC,2160428.335104,1274652.7177113595,225.34,708107.6649699449,666143.1714414177,691438.2990343983,AD,708107.6649699449
ROU,Romania,Eur. & Cent. Asia,HIC,3243655.8,2569672.824689526,297.77,889940.2903886372,778148.3247724824,1190272.4523961886,Prevention,1190272.4523961886
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,18346960.000000004,16686239.999999998,436.33,7846636.851280214,6782921.616,7304954.040960001,AD,7846636.851280214
SMR,San Marino,Eur. & Cent. Asia,HIC,0.0,,,,,,,
SRB,Serbia,Eur. & Cent. Asia,UMIC,1163047.0458371218,944856.5210031325,710.68,384226.595358619,286121.45169016847,437657.54052865086,Prevention,437657.54052865086
SVK,Slovak Republic,Eur. & Cent. Asia,HIC,1493779.1611913927,587505.7130312454,142.05,190101.3277987865,177908.48002012173,272132.64627607283,Prevention,272132.64627607283
SVN,Slovenia,Eur. & Cent. Asia,HIC,239576.67990000025,60910.83052865346,257.49,22479.37689541871,20187.946296737497,19203.873893673437,AD,22479.37689541871
ESP,Spain,Eur. & Cent. Asia,HIC,13999408.33484953,6920858.883168927,217.13,2960743.104960896,2741194.0125630256,504064.5139235362,AD,2960743.104960896
SWE,Sweden,Eur. & Cent. Asia,HIC,1568254.1966426868,25092.06714628299,41.03,7748.794298631352,7598.379773237415,11622.645502158284,Prevention,11622.645502158284
CHE,Switzerland,Eur. & Cent. Asia,HIC,2438533.795956426,,37.27,,,,,
TJK,Tajikistan,Eur. & Cent. Asia,LMIC,0.0,0.0,86.55,,,,,
TKM,Turkmenistan,Eur. & Cent. Asia,UMIC,139158.52244920068,137766.93722470867,1306.14,53019.297012329465,26729.541160337976,56319.12393746091,Prevention,56319.12393746091
TUR,Türkiye,Eur. & Cent. Asia,UMIC,16819598.6378,14745785.01403083,487.93,5516498.97959215,4465318.617948815,6830247.618499081,Prevention,6830247.618499081
UKR,Ukraine,Eur. & Cent. Asia,LMIC,4911021.645978112,4544056.5470411,250.47,1987767.795005065,1821483.4888388696,2327533.13522138,Prevention,2327533.13522138
GBR,United Kingdom,Eur. & Cent. Asia,HIC,11979505.89497371,1103312.4929270786,254.98,430265.00536887185,389163.6188885518,291553.2617537174,AD,430265.00536887185
UZB,Uzbekistan,Eur. & Cent. Asia,LMIC,2794904.605,2649569.56554,1121.35,1280955.171062777,846876.6130959927,853349.5814355115,AD,1280955.171062777
ATG,Antigua and Barbuda,L. Amer. & the Caribbean,HIC,8473.042753654441,8473.042753654441,611.11,3313.0910548241054,2556.5881361456613,3920.10406823475,Prevention,3920.10406823475
ARG,Argentina,L. Amer. & the Caribbean,UMIC,7546484.5,7546484.5,392.69,4034369.74253424,3601411.167052666,3698971.988363074,AD,4034369.74253424
ABW,Aruba,L. Amer. & the Caribbean,HIC,0.0,0.0,550.0,,,,,
BHS,"Bahamas, The",L. Amer. & the Caribbean,HIC,0.0,0.0,653.66,,,,,
BRB,Barbados,L. Amer. & the Caribbean,HIC,130012.8656508359,124552.3252935008,605.51,58674.0565492919,47655.49303278087,62661.91601965104,Prevention,62661.91601965104
BLZ,Belize,L. Amer. & the Caribbean,UMIC,45525.40345874397,45525.40345874397,170.21,9964.954170349003,8832.838779065507,18610.784933934538,Prevention,18610.784933934538
BOL,Bolivia,L. Amer. & the Caribbean,LMIC,1799294.875,1744596.3108,485.86,791991.0803330067,668151.943783016,878023.65563584,Prevention,878023.65563584
BRA,Brazil,L. Amer. & the Caribbean,UMIC,37060612.217999995,36455168.41113391,103.39,16651996.318660218,16101328.795313297,19417021.35656409,Prevention,19417021.35656409
VGB,British Virgin Islands,L. Amer. & the Caribbean,HIC,18294.716441987115,3611.377025648256,647.06,1042.083841275887,700.6793705162746,1476.3309280850071,Prevention,1476.3309280850071
CYM,Cayman Islands,L. Amer. & the Caribbean,HIC,0.0,0.0,642.86,,,,,
CHL,Chile,L. Amer. & the Caribbean,HIC,5003035.722279791,4871690.718998549,372.8,2646986.630104001,2381643.7538097263,2709766.326181421,Prevention,2709766.326181421
COL,Colombia,L. Amer. & the Caribbean,UMIC,8876117.097379997,7374774.949379996,202.15,3607689.9932315857,3389881.7374552586,3994321.9501948184,Prevention,3994321.9501948184
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,859964.3293770495,777114.5525457509,24.12,227627.39647982555,224888.88752767936,354740.9901020794,Prevention,354740.9901020794
CUB,Cuba,L. Amer. & the Caribbean,UMIC,3178327.33587099,2918259.5950309555,640.26,839181.5328740433,566200.7266279059,1192984.5224486543,Prevention,1192984.5224486543
CUW,Curaçao,L. Amer. & the Caribbean,HIC,60694.29721937584,37878.140556145896,,,14999.154517293144,19309.602702647306,Prevention,19309.602702647306
DMA,Dominica,L. Amer. & the Caribbean,UMIC,0.0,,600.0,,,,,
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,2652063.601394931,2492939.785311235,580.06,858472.5722974121,647203.2074841448,1100875.2994042623,Prevention,1100875.2994042623
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,2973131.079,2952319.161447,181.19,787553.336689682,709399.6715190427,621715.1891479833,AD,787553.336689682
SLV,El Salvador,L. Amer. & the Caribbean,UMIC,617672.8094838249,613596.1689412317,113.12,177160.12677935508,167019.28853133725,274822.79377985524,Prevention,274822.79377985524
GRD,Grenada,L. Amer. & the Caribbean,UMIC,9214.0,9186.358,666.67,4647.978197482112,3753.219150359999,4740.824135999999,Prevention,4740.824135999999
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,3769255.923212073,3769255.923212073,191.4,1180372.8094748172,1074970.6814669133,1712701.6450317488,Prevention,1712701.6450317488
GUY,Guyana,L. Amer. & the Caribbean,HIC,130373.20831577366,130373.20831577366,648.44,45447.765861194166,33096.5426630423,57197.33395229622,Prevention,57197.33395229622
HTI,Haiti,L. Amer. & the Caribbean,LMIC,1691562.418123816,1691562.418123816,534.65,460329.3693277211,328196.9403643827,691510.7165290159,Prevention,691510.7165290159
HND,Honduras,L. Amer. & the Caribbean,LMIC,1979177.1515607685,1979177.1515607685,296.56,585333.9825100782,499581.0340582642,852185.3109258867,Prevention,852185.3109258867
JAM,Jamaica,L. Amer. & the Caribbean,UMIC,696947.8571522365,696947.8571522365,561.25,192370.80026757077,135221.8232446769,284912.28400383424,Prevention,284912.28400383424
MEX,Mexico,L. Amer. & the Caribbean,UMIC,21421730.874147315,19551613.768834252,464.38,9733993.479421817,8407491.39638758,7757060.185738035,AD,9733993.479421817
NIC,Nicaragua,L. Amer. & the Caribbean,LMIC,0.0,0.0,289.35,,,,,
PAN,Panama,L. Amer. & the Caribbean,HIC,678010.5753111525,678010.5753111525,168.98,195645.1512831016,178906.37930312366,300850.10692782607,Prevention,300850.10692782607
PRY,Paraguay,L. Amer. & the Caribbean,UMIC,0.0,0.0,24.71,,,,,
PER,Peru,L. Amer. & the Caribbean,UMIC,5597637.570175758,5499678.912697682,287.81,1965257.208697601,1734000.130624717,2123553.9963977984,Prevention,2123553.9963977984
PRI,Puerto Rico,L. Amer. & the Caribbean,HIC,905459.6580748332,778695.3059443566,660.3,261463.38808571728,186342.50689311433,126227.99472631002,AD,261463.38808571728
SXM,Sint Maarten (Dutch),L. Amer. & the Caribbean,HIC,7119.31913737056,6407.387223633505,,,1447.691397591432,1523.8616013984065,Prevention,1523.8616013984065
KNA,St. Kitts and Nevis,L. Amer. & the Caribbean,HIC,8976.0,,636.36,,,,,
LCA,St. Lucia,L. Amer. & the Caribbean,UMIC,43303.7825,,650.0,,,,,
MAF,St. Martin (French),L. Amer. & the Caribbean,HIC,4182.146212026117,,,,,,,
VCT,St. Vincent and the Grenadines,L. Amer. & the Caribbean,UMIC,9805.068,9802.51468638419,600.0,3827.689107930931,2968.397497330859,4540.524802733156,Prevention,4540.524802733156
SUR,Suriname,L. Amer. & the Caribbean,UMIC,79800.0,75810.0,374.41,18855.57714255761,14708.6562,30991.128,Prevention,30991.128
TTO,Trinidad and Tobago,L. Amer. & the Caribbean,HIC,255454.9146560755,,682.11,,,,,
TCA,Turks and Caicos Islands,L. Amer. & the Caribbean,HIC,3875.975217703568,,653.85,,,,,
URY,Uruguay,L. Amer. & the Caribbean,HIC,512022.4423262926,512020.9919311552,110.36,249437.19829805547,241181.54819417765,280233.7991713037,Prevention,280233.7991713037
VEN,"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),4140950.479679504,4140950.479679504,180.43,1264499.688278226,1155340.422528347,1868777.161323446,Prevention,1868777.161323446
VIR,Virgin Islands (US),L. Amer. & the Caribbean,HIC,16679.19689738615,,632.35,,,,,
DZA,Algeria,Mid. East & N. Africa,LMIC,7659125.300433826,7046395.276399119,633.65,2552793.189778381,1900461.824446765,3147226.495451864,Prevention,3147226.495451864
BHR,Bahrain,Mid. East & N. Africa,HIC,645094.53934854,456221.332493,902.75,198325.00744426367,138152.94390553026,211321.7212107576,Prevention,211321.7212107576
DJI,Djibouti,Mid. East & N. Africa,LMIC,0.0,0.0,450.0,,,,,
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,15096331.315863367,12152546.70927001,570.04,3714860.4797194623,2702758.0904374127,5140421.583702003,Prevention,5140421.583702003
IRN,"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,14734412.942618882,12981017.802447235,655.37,4484508.329719093,3241577.0358295897,5668140.058539819,Prevention,5668140.058539819
IRQ,Iraq,Mid. East & N. Africa,UMIC,12461687.004741486,12453870.715142358,688.71,4480472.857686544,3227353.145803718,5422690.600476332,Prevention,5422690.600476332
ISR,Israel,Mid. East & N. Africa,HIC,2661537.4599999995,2015975.8800000008,583.32,782286.0676870128,610477.8159816001,933800.0276160004,Prevention,933800.0276160004
