iso3,country,best_four_pathway_screen,scenario,mitigation_potential_score,readiness_score,opportunity_readiness_class,central_opportunity_readiness_class
COL,Colombia,Prevention,Central equal weights,0.9465198742433693,0.7854764149254675,Immediate priority,Immediate priority
CRI,Costa Rica,Prevention,Central equal weights,0.6480993632847455,0.8026687204135176,No-regret / complementary,No-regret / complementary
CUB,Cuba,Prevention,Central equal weights,0.7975813786761158,0.7006173400878907,Immediate priority,Immediate priority
CUW,Curaçao,Prevention,Central equal weights,0.2893420181796118,0.7618919972374987,No-regret / complementary,No-regret / complementary
DMA,Dominica,,Central equal weights,,,Missing/insufficient,Missing/insufficient
DOM,Dominican Republic,Prevention,Central equal weights,0.7876778392219946,0.7424462026079087,Immediate priority,Immediate priority
ECU,Ecuador,AD-bio-CNG,Central equal weights,0.7592807075460002,0.5414616880153087,Strategic build-out,Strategic build-out
SLV,El Salvador,Prevention,Central equal weights,0.6166381269606427,0.7768335283684825,No-regret / complementary,No-regret / complementary
GRD,Grenada,Prevention,Central equal weights,0.1162492926359981,0.6369090415879191,No-regret / complementary,No-regret / complementary
GTM,Guatemala,Prevention,Central equal weights,0.8421506656727251,0.7330316791631867,Immediate priority,Immediate priority
GUY,Guyana,Prevention,Central equal weights,0.4231809166348365,0.7868148084970429,No-regret / complementary,No-regret / complementary
HTI,Haiti,Prevention,Central equal weights,0.7303682941091787,0.5496181092758292,Strategic build-out,Strategic build-out
HND,Honduras,Prevention,Central equal weights,0.7561185627674006,0.6752829258515254,Immediate priority,Immediate priority
JAM,Jamaica,Prevention,Central equal weights,0.6210819254046938,0.6996626808643912,No-regret / complementary,No-regret / complementary
MEX,Mexico,AD-bio-CNG,Central equal weights,1.0,0.6975139855039358,Immediate priority,Immediate priority
NIC,Nicaragua,,Central equal weights,,,Missing/insufficient,Missing/insufficient
PAN,Panama,Prevention,Central equal weights,0.627790578397945,0.827503022171553,No-regret / complementary,No-regret / complementary
PRY,Paraguay,,Central equal weights,,,Missing/insufficient,Missing/insufficient
PER,Peru,Prevention,Central equal weights,0.8686519904077512,0.8015233945250659,Immediate priority,Immediate priority
PRI,Puerto Rico,AD-bio-CNG,Central equal weights,0.590955585695927,0.6962846080944353,No-regret / complementary,No-regret / complementary
SXM,Sint Maarten (Dutch),Prevention,Central equal weights,0.0,0.8294276873786209,No-regret / complementary,No-regret / complementary
KNA,St. Kitts and Nevis,,Central equal weights,,,Missing/insufficient,Missing/insufficient
LCA,St. Lucia,,Central equal weights,,,Missing/insufficient,Missing/insufficient
MAF,St. Martin (French),,Central equal weights,,,Missing/insufficient,Missing/insufficient
VCT,St. Vincent and the Grenadines,Prevention,Central equal weights,0.1109287436239665,0.647980491221907,No-regret / complementary,No-regret / complementary
SUR,Suriname,Prevention,Central equal weights,0.3476518968644992,0.7362600806203806,No-regret / complementary,No-regret / complementary
TTO,Trinidad and Tobago,,Central equal weights,,,Missing/insufficient,Missing/insufficient
TCA,Turks and Caicos Islands,,Central equal weights,,,Missing/insufficient,Missing/insufficient
URY,Uruguay,Prevention,Central equal weights,0.619041244809349,0.928585152038278,No-regret / complementary,No-regret / complementary
VEN,"Venezuela, RB",Prevention,Central equal weights,0.8528996678767579,0.7682196094514623,Immediate priority,Immediate priority
VIR,Virgin Islands (US),,Central equal weights,,,Missing/insufficient,Missing/insufficient
DZA,Algeria,Prevention,Central equal weights,0.9171427097360412,0.6106667975929209,Immediate priority,Immediate priority
BHR,Bahrain,Prevention,Central equal weights,0.5842545571762999,0.8854274078012985,No-regret / complementary,No-regret / complementary
DJI,Djibouti,,Central equal weights,,,Missing/insufficient,Missing/insufficient
EGY,"Egypt, Arab Rep.",Prevention,Central equal weights,0.9776113379481404,0.6119995662486959,Immediate priority,Immediate priority
IRN,"Iran, Islamic Rep.",Prevention,Central equal weights,0.9896561617484902,0.5419177591141824,Strategic build-out,Strategic build-out
IRQ,Iraq,Prevention,Central equal weights,0.9841999711844832,0.8187902945316362,Immediate priority,Immediate priority
ISR,Israel,Prevention,Central equal weights,0.7673908948849708,0.8323029851980351,Immediate priority,Immediate priority
JOR,Jordan,Prevention,Central equal weights,0.7456060955080249,0.6743757693049036,Immediate priority,Immediate priority
KWT,Kuwait,Prevention,Central equal weights,0.7435934767697168,0.8893563318381399,Immediate priority,Immediate priority
LBN,Lebanon,Prevention,Central equal weights,0.7211903045987212,0.6304271631853163,Immediate priority,Immediate priority
LBY,Libya,Prevention,Central equal weights,0.801717019329384,0.6840044455681525,Immediate priority,Immediate priority
MLT,Malta,Prevention,Central equal weights,0.3905169035703643,0.8804500207819025,No-regret / complementary,No-regret / complementary
MAR,Morocco,Prevention,Central equal weights,0.878053133864097,0.6024325675044535,Immediate priority,Immediate priority
OMN,Oman,Prevention,Central equal weights,0.6264502355441236,0.9181766022671137,No-regret / complementary,No-regret / complementary
QAT,Qatar,Prevention,Central equal weights,0.6462946226760945,0.9500000000000001,No-regret / complementary,No-regret / complementary
SAU,Saudi Arabia,Prevention,Central equal weights,0.9663949349641404,0.879156165703806,Immediate priority,Immediate priority
SYR,Syrian Arab Republic,Prevention,Central equal weights,0.7720631290436955,0.49850799800876827,Strategic build-out,Strategic build-out
TUN,Tunisia,Prevention,Central equal weights,0.742717135066421,0.5991469972737369,Strategic build-out,Strategic build-out
ARE,United Arab Emirates,Prevention,Central equal weights,0.6985978286262401,0.8843102196453495,Immediate priority,Immediate priority
PSE,West Bank and Gaza,Prevention,Central equal weights,0.6425957067011554,0.6743956061206481,No-regret / complementary,No-regret / complementary
